title,description,content,order,is_published,chapter_id,difficulty,estimated_minutes,is_free
lambda-functions,Description,<p>Content</p>,"4","1","2",Medium,"10","0"
The End,Congratulations!,<p>Content</p>,"6","1","2",Easy,"5","1"
Beginning,Good luck!,<p>Content</p>,"0","1","3",Easy,"5","1"
The End,Congratulations!,<p>Content</p>,"5","1","3",Easy,"5","1"
About Python,Description,"<p>Что такое Python?</p>
<p>&nbsp;</p>
<p>Философия.</p>
<p>&nbsp;</p>
<p>Области применения.</p>","0","1","13",Easy,"10","1"
Installation,Description,"<p>Установка интерпретатора.</p>
<p>Настройка среды.</p>
<p>Первый скрипт</p>","1","1","13",Easy,"10","1"
Extensions,Description,<p>Установка расширений для интерпретатора</p>,"3","1","13",Easy,"10","0"
Settings,Description,<p>Настройка интерпретатора.</p>,"2","1","13",Easy,"10","1"
Scope of visibility,Description,<p>Content</p>,"5","1","2",Easy,"10","1"
Datetime-package,Description,<p>Content</p>,"2","1","17",Easy,"20","1"
Collections-package,Description,<p>Content</p>,"4","0","17",Medium,"20","0"
Json-package,Description,<p>Content</p>,"5","0","17",Medium,"20","0"
Os-package,Description,<p>Content</p>,"3","1","17",Medium,"20","0"
Arrays,Description,<p>Content</p>,"1","1","3",Easy,"20","1"
Tuples,Description,<p>Content</p>,"2","1","3",Easy,"10","1"
Dictionaries,Description,<p>Content</p>,"3","1","3",Easy,"10","1"
Sets,Description,<p>Content</p>,"4","1","3",Easy,"10","1"
Beginning,Description,<p>Content</p>,"0","1","11",Easy,"10","1"
Reading & writing,Description,<p>Content</p>,"1","1","11",Easy,"10","1"
The End,Description,<p>Content</p>,"2","1","11",Easy,"10","1"
Beginning,Description,<p>Content</p>,"0","1","12",Easy,"10","1"
Importing,Description,<p>Content</p>,"1","1","12",Easy,"10","1"
Installing packages,Description,<p>Content</p>,"3","1","12",Easy,"10","1"
Creating modules,Description,<p>Content</p>,"2","1","12",Easy,"10","1"
Virtual environment,Description,<p>Content</p>,"4","1","12",Easy,"10","1"
The End,Description,<p>Content</p>,"5","1","12",Easy,"10","1"
Beginning,Description,<p>Content</p>,"0","1","18",Easy,"10","1"
The End,Description,<p>Content</p>,"13","1","18",Easy,"10","1"
Complexity,Description,<p>Content</p>,"1","1","18",Easy,"10","1"
Recursion,Description,<p>Content</p>,"2","1","18",Easy,"10","1"
Arrays & lists,Description,<p>Content</p>,"3","1","18",Easy,"10","1"
Stack & queue,Description,<p>Content</p>,"4","1","18",Medium,"10","0"
Hash tables,Description,<p>Content</p>,"5","1","18",Medium,"10","0"
Linked lists,Description,<p>Content</p>,"6","1","18",Medium,"10","0"
The search algorithm,Description,<p>Content</p>,"7","1","18",Easy,"10","1"
The sorting algorithm,Description,<p>Content</p>,"8","1","18",Easy,"10","1"
Comparison,Description,<p>Content</p>,"9","1","18",Easy,"10","1"
Trees,Description,<p>Content</p>,"10","1","18",Medium,"10","0"
Graphs,Description,<p>Content</p>,"11","1","18",Medium,"10","0"
Dynamic programming,Description,<p>Content</p>,"12","1","18",Hard,"10","0"
Beginning,Description,<p>Content</p>,"0","1","17",Easy,"10","1"
Math-package,Description,<p>Content</p>,"1","1","17",Easy,"10","1"
The End,Description,<p>Content</p>,"6","1","17",Easy,"10","1"
